yyyymm,RetEx,signal,signal_RSI,signal_macd
191210,-0.006043888694431799,1,1,0
191211,-0.0150393875156901,1,1,0
191212,-0.0400383692839039,1,0,0
191301,-0.0117177936357009,1,0,0
191302,-0.038739293698728104,1,0,0
191303,-0.0228421053767169,0,0,0
191304,-0.0048493032668297,0,0,0
191305,-0.0308912457145619,0,0,0
191306,-0.0542709922651762,0,0,0
191307,0.009450134547914199,0,0,0
191308,0.0226643239685413,0,0,1
191309,0.0055405161507564,0,0,1
191310,-0.0354692393470939,0,0,1
191311,-0.0291661856633464,0,0,0
191312,-0.0050806238374262,1,0,1
191401,0.0380623876671386,1,1,1
191402,0.010661578708694299,1,1,1
191403,-0.021341140947274198,1,1,1
191404,-0.026437884909130897,1,1,1
191405,0.0036549018296867,1,1,1
191406,-0.0073839358609463,1,1,1
191407,-0.058266528214326596,1,0,0
191408,-0.004318042626552,1,0,0
191409,-0.0045836976004435,1,0,0
191410,-0.0043918356748552,1,0,1
191411,-0.0036981810208053,1,0,1
191412,-0.0458183109653187,1,0,0
191501,0.015206479106129198,1,0,1
191502,-0.015775786632718898,1,0,1
191503,0.0236114890557967,1,0,1
191504,0.072956836959651,1,1,1
191505,-0.0257261881025319,1,1,1
191506,0.008987745089784501,1,1,1
191507,-0.0057691807175657,1,1,1
191508,0.0402024833541131,1,1,1
191509,0.035065773154519496,1,1,1
191510,0.053411552212609,1,1,1
191511,0.0331649654106419,1,1,1
191512,0.00019439634816400013,1,1,1
191601,-0.0177646912813161,1,1,0
191602,-0.0158754541667951,1,1,0
191603,-0.0052027760364068,1,1,0
191604,-0.012847031880131601,1,1,0
191605,0.020108810177101498,1,1,0
191606,0.0073978661513722,1,1,0
191607,-0.0164580362706553,1,1,0
191608,0.005199300569435499,1,1,0
191609,0.0387264466569855,0,1,1
191610,0.028857967140412402,0,1,1
191611,0.0208311514344574,0,1,1
191612,-0.0426815806615016,0,0,0
191701,-0.0257286043339953,0,0,0
191702,-0.0590840313281317,0,0,0
191703,0.028327914983763098,0,0,0
191704,-0.0178354998164689,1,0,0
191705,-0.037009656364894804,1,0,0
191706,0.0169868113087466,1,0,0
191707,-0.0307479452813563,1,0,0
191708,-0.0327533174995818,1,0,0
191709,-0.051527693911018205,1,0,0
191710,-0.057796821481068,1,0,0
191711,-0.08698723852515661,1,0,0
191712,-0.0377890901117144,1,0,0
191801,0.0565442814924413,1,1,1
191802,0.026682167636493,1,0,1
191803,-0.0241670199071836,1,0,1
191804,-0.0136161171342329,1,1,1
191805,0.027921544091897697,1,1,1
191806,-0.0026345085828522003,1,1,1
191807,0.0040750966708102,1,1,1
191808,0.005298035026048101,1,0,1
191809,-0.0093441911172024,1,1,1
191810,0.0383731720400661,1,1,1
191811,0.0214002842730349,1,1,1
191812,-0.0237780560958553,1,1,1
191901,-0.009842812324098,1,1,1
191902,0.00035961278472030006,1,1,1
191903,0.0268472234290365,1,1,1
191904,0.0296416021642523,1,1,1
191905,0.06552028720450051,1,1,1
191906,0.023035533907513103,1,1,1
191907,0.0289267640152868,1,0,1
191908,-0.0709072108560066,1,0,0
191909,0.0121739106597063,1,0,0
191910,0.0474447546549166,1,0,1
191911,-0.0332652348750821,1,0,0
191912,-0.0333583552137153,1,0,0
192001,-0.0138396860986546,1,0,0
192002,-0.0864227066817667,1,0,0
192003,0.0664120370370371,1,1,0
192004,-0.0124488177623991,1,1,0
192005,-0.0673740310077517,1,1,0
192006,-0.022161393713813,1,1,0
192007,-0.0061042929292927,1,1,0
192008,-0.0440492309313106,1,1,0
192009,0.030684649122807203,1,1,1
192010,-0.0035210186361711,1,0,1
192011,-0.0555530879864634,1,0,0
192012,-0.09447219251336911,1,0,0
192101,0.0393278634361234,1,0,1
192102,-0.0114490154711673,1,0,1
192103,-0.0299790840415486,1,0,1
192104,2.713178294579989e-05,1,0,1
192105,0.0260907380607815,1,0,1
192106,-0.0842145131086142,1,0,0
192107,-0.006886768447837,1,0,1
192108,-0.016209481878509402,1,0,1
192109,0.0208478682170542,1,0,1
192110,0.010107400403429001,1,0,1
192111,0.0503730099502486,1,0,1
192112,0.032160764872521196,1,1,1
192201,-0.0046179890560874,1,1,1
192202,0.018742808219177898,1,1,1
192203,0.0345751787310098,1,1,1
192204,0.0580485142118864,1,1,1
192205,0.036268524157531304,1,1,1
192206,-0.012086996873778701,1,1,1
192207,0.0044339250493097004,1,1,0
192208,0.034994486878182594,1,1,1
192209,0.023264231785579598,1,1,1
192210,0.0189833885209712,1,1,0
192211,-0.0527260259179264,1,0,0
192212,-0.005314393939394001,1,0,0
192301,0.010617425968109499,1,0,0
192302,0.039654962546816296,1,1,0
192303,0.012730459770115098,1,0,0
192304,-0.0384363644397313,1,0,0
192305,-0.0505444139194137,1,0,0
192306,-0.0412622837370241,1,0,0
192307,-0.0368314748201437,1,0,0
192308,0.0017461124896606998,1,0,0
192309,0.0028311728395062,1,0,0
192310,-0.0182405930470348,1,0,0
192311,0.026604586965546,1,0,1
192312,0.030623982265215798,1,0,1
192401,0.029615204678362497,1,1,1
192402,0.0015800113250281004,1,1,1
192403,-0.0221407271702366,1,1,1
192404,-0.025805172413792998,1,1,0
192405,-0.005437745098039,1,1,0
192406,0.0168568673750491,1,1,1
192407,0.0447499420625722,1,1,1
192408,0.032746677740863706,1,1,1
192409,-0.0114193076374017,1,1,1
192410,-0.0149813063063061,1,1,0
192411,0.053709802847754604,1,1,1
192412,0.0518002420470263,1,1,1
192501,0.0391635826771652,1,1,1
192502,0.0063232829237554996,1,1,1
192503,-0.0285584661043422,1,1,0
192504,-0.012903769650304701,1,1,0
192505,0.0298261673151752,1,1,0
192506,0.0155243009739242,1,1,0
192507,0.0252277777777776,1,1,1
192508,0.0110051801801802,1,1,0
192509,0.020469444444444398,1,1,1
192510,0.030073103098754904,1,0,1
192511,0.028076920381272703,1,0,1
192512,0.0133882137030997,1,0,1
192601,0.019563576779026298,1,0,1
192602,-0.046606043956044,1,0,0
192603,-0.0617299671592773,1,0,0
192604,0.020120942408377,1,0,0
192605,0.005037514220705299,1,0,0
192606,0.040742075924358,1,0,1
192607,0.0428628787878788,1,0,1
192608,0.0143557453416148,1,0,1
192609,0.0200507633587787,0,0,1
192610,-0.0343266169154229,0,0,0
192611,0.0195503980482793,0,0,0
192612,0.014020415724692202,0,0,0
192701,-0.0234477823078823,0,0,0
192702,0.0449494764067624,0,1,1
192703,0.0038362235067437,1,0,1
192704,0.0144040021536252,1,1,1
192705,0.0494480063514468,1,1,1
192706,-0.0119480046948356,1,1,1
192707,0.06252994809298129,0,1,1
192708,0.0422509535918625,0,1,1
192709,0.0409803002637452,0,1,1
192710,-0.0556588486970049,1,1,0
192711,0.065242390634627,1,1,1
192712,0.0164004568186191,1,0,1
192801,-0.0078545960739901,1,1,0
192802,-0.0204187108708024,0,1,0
192803,0.1056179895712628,0,1,1
192804,0.0293931608294129,0,1,1
192805,0.009408227848101301,0,1,1
192806,-0.043766666666666496,0,1,0
192807,0.0090731804759421,0,1,0
192808,0.07047886429919381,0,1,1
192809,0.0201495008784539,0,0,1
192810,0.010589650600530201,0,0,0
192811,0.1163761992619927,0,1,1
192812,-0.0006669686985172002,0,0,1
192901,0.0532008555783708,0,0,1
192902,-0.009485839160839001,0,1,0
192903,-0.0061779992184445,0,1,0
192904,0.0120595377986683,0,1,0
192905,-0.047032722950398405,0,1,0
192906,0.10836407571486109,0,1,1
192907,0.041827449915519996,0,1,1
192908,0.0940750230840259,0,1,1
192909,-0.052697146010722,0,1,0
192910,-0.2029122236958443,0,0,0
192911,-0.136639078674948,0,0,0
192912,0.0228096080305925,0,0,0
193001,0.059645862470862496,0,0,0
193002,0.0187006581834138,0,0,1
193003,0.0774385738831614,0,0,1
193004,-0.012046539379475,0,0,1
193005,-0.0184741967871485,0,1,1
193006,-0.1661319620253163,0,0,0
193007,0.0351318914956011,0,0,0
193008,0.0062686115040075,0,0,1
193009,-0.1315639096864764,0,0,0
193010,-0.09020739644970399,0,0,0
193011,-0.023008461235733902,0,0,0
193012,-0.0754638704486019,0,0,0
193101,0.047858452846588496,0,0,1
193102,0.1134734099854982,0,1,1
193103,-0.07030783602900159,0,1,1
193104,-0.0971074545636109,0,1,0
193105,-0.1379102717031146,0,0,0
193106,0.1385585637480798,0,1,1
193107,-0.0745156383456955,0,1,1
193108,0.009118317552804,0,0,1
193109,-0.2997977994227993,1,0,0
193110,0.08303235496052161,1,0,0
193111,-0.0992907644824311,1,0,0
193112,-0.1472714912280701,1,0,0
193201,-0.0303917898193758,1,0,0
193202,0.0486804182509505,1,0,1
193203,-0.1200897165259348,1,0,1
193204,-0.20338738030095752,1,0,0
193205,-0.233534491137793,1,0,0
193206,-0.009231879194630801,1,0,0
193207,0.37679183596689236,1,1,1
193208,0.3752931693989074,1,1,1
193209,-0.0369737485101311,1,1,1
193210,-0.13862219471947193,1,1,1
193211,-0.058916379310344734,1,1,1
193212,0.05187506361323136,1,1,1
193301,0.007198560716013567,1,1,1
193302,-0.18444637367915465,1,0,0
193303,0.0324522379269729,1,0,0
193304,0.42184722222222226,1,1,1
193305,0.1584121794871796,1,0,1
193306,0.13168440525587827,1,0,1
193307,-0.0881510006110602,1,1,1
193308,0.11456453098827477,1,1,1
